Oinwe	Ve.
nato axetiainkora benbo bake itan ainbo bakebaon wishai,	en esta sesión los niños y las niñas escribirán
westiora kirika taxnata jaskatax jakoni jati ainbo bakebo itan benbo bakebo tsokas ayamai	un cartel de normas de convivencia que debemos respetar todas las niñas y niños del grupo
ainbo bakebo itan benbo bakebaon akanti jake onankin nato jaweki riki aknai akin jaskaaxon jain jaweki itinabo non onanti kopi itan nokotiribi kopi	las niñas y niños se habrán dado cuenta que el croquis sirve para representar el espacio y permite ubicar todos los materiales en forma ordenada
jakon akin joyonama itan ayamai itan teeyamai jatibi wisha akabaon	no tiene orden y no usa todas las letras
nato giro iamax rotacion itan traslacion de figuras geometricasbo non mosaicos teebo akaitian jan non axeti rao ati kopi	el giro o rotación y la traslación de figuras geométricas cuando elaboran mosaicos para decorar el aula
jato yokabo awe jawekeskaki jabaon jawekibo oinai ixon itan jawe jawekiboki jaton axetiain ja ixon	realiza preguntas basadas en situaciones u objetos del aula
jatixonbi oinkanai westiora jaweki jaskaramatanibo ikanti kirika akaibo ikax itan,	analizan un caso sobre un conflicto en el aula y
jatibi benbo bake itan ainbo bakebo yokawe oinkanti wishakana itan oinmakanti ribojo itanribi teekin seneanti jawekibo	pide a todas las niñas y los niños que revisen lo que han escrito y presenten el dibujo y las normas que han trabajado
yoyo ikanai jaweati kopiki itan jawe kopiki ati iki noa jain axeai non jakon akin ixon	dialogan sobre el para qué sirve y el por qué es necesario organizar el aula
jakiribi konsigna yoiwe itanribi yokawe jakon akinki akana ixon ointi	repite la consigna y pide que verifiquen si la cumplieron correctamente
itan jawekeskataxki ea jainoax axei wetsarebiri en nokoa	y cómo cambió mi salón
rosan titanra ake tsamankin iskon rato jan sopa nachiti kopi	la mamá de rosa colocó nueve platos en la mesa para servir la sopa
yoiwe atipanrakanke wishakin jaton jane ani wishain moa axetiainko aibakana  itan yoyo aibakana kopi westiora wisha ja jisaribi seneanti shinanbo ikainko	diles que han podido escribir el cartel de asistencia porque en la sesión anterior elaboraron y leyeron un texto parecido al cartel de responsabilidades
benbo bake itan ainbo bakebo yokatai	pregunta a las niñas y los niños
pagina 22 itan 23 ikainko,	en las páginas 22 y 23
jainoaxra axei bokanai meskokeska jawekibo itanribi onananani jabe bakebo betan,	en la cual vivirán experiencias que les permitirán reencontrarse con sus compañeros
yoyo ikanai itan yoikanai westiora tee aki bokanai yokabo ointanan jaskaaxon jatibi jabe axeai benbo bake itan ainbo bakebo oinmati	dialogarán y elegirán una actividad de cada pregunta para presentarla a todas sus compañeras y compañeros
benbo bake itan ainbo bakebora axekanai jakonshamani jaskatax yoyo iti itanribi jato onamati jato winotai jawekibo jaskaaxon baritia jakon akin peokanti kopi	los niños y niñas desarrollan la expresión y comprensión oral al compartir experiencias y expresar sus expectativas sobre el año escolar
oinmawe jato jaskaakin tee akanti jakon akin pikoyamakin itan ponte akin jawen serebo	muestra mayor dominio de la direccionalidad y linealidad de sus trazos
wishaxon yoyo akai itan	lo escribe y lee y
ramara non jato oimai jawekeskaki ipachoai non axeti xobo ixon itan ja non ken ixon	hoy vamos a compartir cómo era nuestra escuela y lo que más nos gustaba de ella
jakon axon shinan akin itan jakoma jaweki ikaibo jakon axon benxo ati onanti nato unidain	tomar decisiones y resolver conflictos durante toda la unidad
benbo bake itan ainbo bakebo maxko tsinkiain awe itan yokawe ribojankanti  itanribi wishati seneanti iamax shinankana jawekibo axeti winoibatainko jaskaaxon jeman tsinkitiain consenso axon aibakana	organiza a las niñas y los niños en grupos pequeños y pídeles que dibujen y escriban las normas o acuerdos que han propuesto en la sesión anterior para la asamblea que han propuesto en consenso
jakon akin jawekibo joyonti itanribi yoyo ati kirikabo onantiakin janepaketi	organización y fichaje de los libros del aula
jan teeti kirikabo itanribi tsoa bakebo amatirin ixon	el tipo de textos y el destinatario
benbo bake itan ainbo bakebo betan yoyo iwe wetsa ani wishakiribi jeman nokoxon oinbakana	dialoga con las niñas y los niños sobre los diferentes carteles que han visto en la comunidad
axeamis ainbo itanribi jatibi benbo bake ita ainbo bakebo jainoax axetiainkonia	la docente y todas las niñas y niños de nuestra aula
ainbo bakebo itan benbo bakebo itanribi jaton axeamis ainbo	las niñas y niños y su maestra
wishawe meskokeska kirikabo itanribi ninkatishama akin,	escribe diversos tipos de textos con algunos elementos complejos y con diversas temáticas,
westiora joyo mesko jawekia itan wetsa joyo wetsaresibi jawekiabo	una columna de materiales de un tipo frente a otra columna de materiales de otro tipo
mesko wishabo mesko shinanboya  itan jaska akin wishaabo onantishaman akin	textos diversos con temáticas y estructura textual simple
bakebo betan shinanwe jaskatax jakoni raenanti teetiainkoniax itanribi jakoni axekanti kopi	acuerda con los estudiantes algunas normas de convivencia que los ayudarán a trabajar y aprender mejor
jajawekibaonki teeti bokanai ikax itan ribi ja tee ati kopi shinainbakanaribi	qué materiales utilizarán y los compromisos que asumieron
jaskaaxon axekiakana ixon onanti kopi nato competencia ikainko teewe itan shinanwe matematicamente en situaciones de cantidad ikainko	para evidenciar el aprendizaje de la competencias actúa y piensa matemáticamente en situaciones de cantidad
nonra tii ati jawekibo merai ja manaon itan ja naman itina	ubicamos objetos encima y debajo
benbo bake itan ainbo bakebaon janeai jaweboki aibakana axeti winoibatain itan axeibakana	pregunta a las niñas y los niños qué hicieron en la sesión anterior y qué aprendieron en ella
shinanwe benbo bakebo betan itan ainbo bakebo betan moabo tee aibakanabo	recuerda con los niños y las niñas lo que realizaron en la sesión anterior
teekanarin ixon ointi benbo bake itan ainbo bakebaona	ficha de autoevaluación para las niñas y los niños
jakon akin joyonpaketibo itan ja jawekibaon teetibo nato toponti jawekiain,	clasificación y uso de sus materiales en el sector de matemática
kirika papelografobo itan plumonesbo	papelógrafos y plumones
yokawe mia jawen jane yoiti itan amawe jawen jane ati ja wisha taxnantinin	pídele que te diga su nombre y fórmalo con las letras móviles
sectoresain itan ani wishain yoiyai jaskaaxon jatixonbi axetiainkoxon croquis akanti kopi	los sectores y los carteles que son necesarios para el aula y juntos elaboren un croquis general para el aula
biwe benbo bakebaon itan ainbo bakebaon shinan	recoge los saberes previos de los niños y las niñas
imawe benbo itan ainbo bakebo yoyo iki rakeyamai	permite que los niños y las niñas intervengan libremente
jaskaaxon ati estrategias euristicas awe jaskaaxon nenke ati kopi itanribi pikoti kopi patrones de repeticion geometricos de traslacion itan criterios perceptuales	emplea estrategias heurísticas para ampliar y crear patrones de repetición geométricos de traslación y criterios perceptuales
wishanon ikanwe non janebo itanribi ja pekao joai	vamos a escribir nuestros nombres y apellidos
chinita tsinkikanra ati atipanke janebo netebona itanribi ransati	y el último grupo puede hacer los nombres de las estaciones y las fiestas especiales
kointo yoyo awe pen penshoko axetiainko kai benbo bake itan ainbo bakebo koshishaman aki yoiyamabi	lee el cuento mariposita va a la escuela antes de leerlo en voz alta a los niños y las niñas
benbo bakebo itan ainbo bakebo pataxwe	acércate a los niños y a las niñas
akanai akin ja proceso de metacognición benbo bake itan ainbo bakebo betan	realiza el proceso de metacognición con las niñas y los niños
ichamainoax itan ichanko,	menos que  y  tantos como
cuadro rabe jikitiya itanribi baritia seneankanaibo kai	cuadro de doble entrada más fechas especiales como cumpleaños
sikati rapisbo itan plumonbo	colores y plumones
jawen peokota yoi ikabo itanribi shinan akabo	índice y párrafos
itan jainxonribi mesko tsamabaon teeti kopi	y otras relacionadas con la representación de cantidades
jaskaaxon ati kopi wishapakekin mesko jan teeti katibo kopi itan tsamabo apaketi kopi jaton jan ikinaiya	para elaborar una lista de tareas y elegir a los grupos responsables
itan representankanai nomirobo descomposiciones aditivasboya soro korikibo axon,	y representen números con descomposiciones aditivas utilizando monedas
yoyo ikanwe benbo bakebo itan ainbo bakebo betan ja kirika akanatonra jakoni teeti bokanai itan aki bokanai netetiibi shinankankin jaskatax jaton akasai teebo jakon aki bokanti kopi	comenta con los niños y las niñas que con las normas del aula podrán trabajar mejor y que las usarán cada día para recordarlas y elegir aquellas que les sirvan para cada tipo de trabajo que realizarán
yoikanwe moa onanxon jawekeskari axeti xobo mariposita ixon itan rama ixon	comenta que ya han conocido cómo era el aula de mariposita y ahora
jawekibo merati itan joniboribi	ubicamos objetos y personas
ja bebon itan ja manan	encima  y  debajo
chopa manxan iamax chitonti  jain jawekibo joyona benbo bakebaona itan ainbo bakebaona	tapete o manta con los objetos pertenecientes a diferentes niños y niñas
tsinkiwe jatibi bakebo japekao yokapakewe jaweratoboki ika jaton ayorakin kostana nato unidainoa itan raroshamankiakana nato teebo aki	reúne a los estudiantes en círculo para compartir las actividades que más les gustaron de la presente unidad y cómo se sintieron al participar de ellas
ribojankanti itan wishati ja seneankanaibo itanribi taxnanti jatixonbi ointiainko	que dibujen y escriban la norma y que la coloquen en un lugar visible para todos
wishawe  jatibi benbo bakebo itan ainbo bakebaon yoiyaibo wishati kirika senenainko	anota lo que dicen los niños y las niñas en la última columna del plan de escritura
nonra biai itan kopiakai tintanko itanribi bankonko	canjeamos y pagamos en la tienda y el banco
¿jawekeskaxonmein non ati iki merakin matematica kirikabo itan personal social?	¿cómo ubicaremos los libros de matemática y personal social?
benbo bake itan ainbo bakebaonra akanai meskokeska join wishakin westiora ani wishain jaton joai netebo	las niñas y los niños usarán el lenguaje escrito al escribir un cartel de asistencia
ribojoyabo itan jayaomabo	con imágenes y sin ellas
benbo bakebo itan ainbo bakebora axekanai jaskaxon cubo aki  kirika pein  jaskaaxon topontibo joyotainko ati kopi .	los niños y las niñas aprenderán a construir el cubo con hojas de papel para adornar el sector de matemática
xepowe yoitaanan jabaon jaton jane wishakana jaskaaxon onankanti kopi tsoa benbo bakebo itan ainbo bakeboki  jain kirika akaibo ixon onanti kopi	cierra diciendo que han usado la escritura para registrar el nombre que identifica a un grupo de niños y niñas y que
ja rabe unidakanbiki akai yoikin jaskaakin tee akantiboki ja benbo bake itan ainbo bakebaon ja tee ati yoiyainkoxon	ambas unidades proponen retos que deben ser resueltos por las niñas y los niños a través de las competencias de las áreas señaladas
bochiki itan naman	arriba  y  abajo
¿jawekeskaakin itan jaweranomein akanti iki tsinkixon akin jaton jaweki beabo ja pekao jayakax teekanti kopi?	¿cómo y dónde podrían ubicar sus materiales para utilizarlos apropiadamente?
wetsa axeamis bena nokoi itanribi jabe bena axeaibo nokoi	así como tener un nuevo docente y conocer nuevos compañeros
jawetianki hayan doblado jaskaaxon wishati kirika iamax jain benxoati itan perforado jaskara westiora wisha lados benbo	cuando hayan doblado la cartulina o cartón y perforado por uno de los lados
nonra tsinkiai jawekibo itanribi jain jawekibo ati	organizamos los objetos y los sectores del aula
itan yoi bokanai ja jatibi jaweki axekanaibo	y describirán las transformaciones que estas experimentan
jawen ani itan jaskaakin chexeakin sikaa	el tamaño y la tonalidad de color
raenani jakoni itan ramiananyamai jatobo	amistad y respeto entre compañeros
ikanti jake jakonshaman jan axeti xobomeran ikana itanribi jakon akin rao akana jaskatax jakoni axekanti kopi jaton ken jawekishamanbo tsinkiax	requieren de un aula acogedora y organizada según sus necesidades de aprendizaje y sus preferencias
yoipakewe jaweranoki ja jaweki jan teetibo itina ixon itanribi jonibo jaon teetibo topontiain	describe la ubicación de objetos y personas con relación a sí mismo
benbo bake itan ainbo bakebo yokawe wishakanti kopi ja winota jawekibo jaskaaxon jaton familias	pide a las niñas y los niños que escriban las anécdotas para sus familias
yokawe jato jawe kirikainki aki bokanai benxo akin ja kirika wishabo ixon itan japekao jato menipakewe ja kirika akai bakebo jatixonbi tee akana iti kopi	pregúntales en qué planificador van a colocar las tiras de papel y distribuye las responsabilidades entre los estudiantes para que todos puedan participar en la edición del planificador
yoiwe benbo bake itan ainbo bakebo	plantea a los niños y las niñas
jan taxnati itan bestetibo	goma y tijeras
nato shinanbo wishawe westiora papeloteain itan awe westiora jatixonbi oinkanaiko	escribe estas ideas en un papelote y colócalo en un lugar visible del aula
jan xateti itan jan taxnanti	tijeras y goma
"jatiribibo" itan "jawemabobi"	"algunos" y "ninguno"
ja bebon itan ja pekao	delante de y detrás de
ainbo bakebo itan benbo bakebo segundo gradoainoabo	las niñas y los niños del segundo grado
jatixonbi jotobo inonbi itan ixon	con imágenes y sin ellas
axetiainkora iti jake meskokeska jawekibo jaskaaxon yoikanti kopi ja ikainkoxon itanribi bakebo jainoax axeainko	las sesiones pueden ser adecuadas para responder a los contextos y estilos de aprendizaje de los estudiantes
